record_id,farm_id,animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis,disease_history,vaccination_status,treatment_history,milk_yield_l_day,scc_cells_ml,milk_conductivity_ms_cm,milk_temperature_c,body_temperature_c,udder_surface_temperature_c,activity_percent,rumination_min_day,feeding_behavior_score,water_intake_l_day,feed_quality_score,hygiene_score,housing_condition_score,milking_hygiene_score,worker_hygiene_score,milking_frequency_per_day,milking_schedule,ambient_temperature_c,relative_humidity_percent,climate_risk,co_morbidity,sensor_status,ai_risk_score,risk_category,mastitis_within_7_14_days,forecast_lead_days
REC-00893,FARM-011,COW-387,Jersey Cross,5.0,3,230,0,No previous mastitis,Up to date,Supportive treatment,6.67,124204,4.91,38.63,38.75,38.45,68.4,560.0,7.8,82.9,8.1,5.1,8.2,7.7,8.1,2,Morning/Evening,29.3,73.5,Low,0,Normal,17.4,No Risk,0,0
REC-00894,FARM-018,COW-461,Holstein Friesian,2.0,4,141,0,No previous mastitis,Up to date,None,21.15,146893,5.84,38.49,38.68,37.18,75.0,427.0,6.6,60.3,7.1,8.0,8.6,6.0,8.7,2,Morning/Noon/Evening,29.1,63.6,Low,0,Normal,5.3,No Risk,0,0
REC-00895,FARM-034,COW-348,Holstein Friesian,5.9,2,282,1,Previous mastitis,Partially up to date,None,23.11,304821,6.01,38.79,38.87,38.06,81.9,515.0,7.2,53.9,6.7,9.3,7.5,6.9,8.1,2,Morning/Evening,31.4,70.4,Moderate,0,Normal,10.7,No Risk,0,0
REC-00896,FARM-039,COW-190,Jersey Cross,2.3,4,206,0,No previous mastitis,Overdue,None,10.48,177101,5.71,38.83,38.83,37.94,79.5,567.0,5.9,76.0,7.0,9.7,8.7,6.7,8.4,2,Morning/Noon/Evening,24.3,75.7,Moderate,0,Normal,11.6,No Risk,0,0
REC-00897,FARM-041,COW-191,Gir,6.5,2,163,0,No previous mastitis,Overdue,None,6.44,130411,5.95,38.43,38.59,37.64,63.7,481.0,6.8,74.8,5.9,9.2,6.9,6.3,9.4,2,Morning/Evening,31.3,84.5,Moderate,0,Normal,24.3,Low Risk,0,0
REC-00898,FARM-042,COW-369,Jersey,7.1,6,134,0,No previous mastitis,Up to date,None,14.76,315619,,38.1,38.09,37.84,75.7,525.0,9.3,61.8,7.7,7.7,10.0,8.8,5.9,2,Morning/Evening,23.9,67.3,Low,1,Normal,8.4,No Risk,0,0
REC-00899,FARM-050,COW-409,Jersey,2.0,1,72,1,Previous mastitis,Up to date,None,10.2,574785,5.9,38.53,38.61,37.54,70.1,537.0,7.3,92.9,9.1,7.1,6.8,5.8,8.8,2,Morning/Noon/Evening,38.5,81.6,High,0,Normal,16.0,No Risk,0,0
REC-00900,FARM-023,COW-312,Jersey Cross,7.5,1,52,0,No previous mastitis,Partially up to date,None,14.52,208917,4.62,38.6,38.9,37.52,89.9,312.0,6.4,49.9,8.8,6.3,3.9,7.6,7.5,2,Morning/Noon/Evening,28.5,72.9,Low,0,Maintenance,28.4,Low Risk,0,0
REC-00901,FARM-007,COW-417,Holstein Friesian,5.0,4,53,0,No previous mastitis,Partially up to date,None,19.88,338724,6.27,38.26,38.26,37.8,89.5,482.0,5.5,56.3,9.1,6.2,8.5,8.7,5.4,2,Morning/Evening,29.8,52.4,Low,0,Normal,10.0,No Risk,0,0
REC-00902,FARM-039,COW-422,HF Cross,7.1,3,175,0,No previous mastitis,Up to date,None,15.32,513717,5.57,38.84,38.97,37.61,98.3,500.0,6.5,88.0,8.4,5.3,6.4,5.6,4.3,2,Morning/Evening,37.0,65.7,Moderate,1,Normal,15.2,No Risk,0,0
REC-00903,FARM-003,COW-117,HF Cross,6.9,6,80,0,No previous mastitis,Up to date,None,13.1,132254,5.26,38.62,38.62,37.2,74.4,472.0,10.0,52.3,5.0,7.9,8.7,7.1,6.7,3,Morning/Evening,25.5,95.0,Moderate,1,Normal,8.9,No Risk,0,0
REC-00904,FARM-012,COW-134,Jersey,2.6,1,93,0,No previous mastitis,Overdue,None,7.0,188908,5.44,38.43,38.38,38.07,80.5,549.0,6.3,65.7,6.9,6.9,7.5,6.8,9.0,2,Morning/Evening,28.9,66.6,Low,0,Normal,20.7,Low Risk,0,0
REC-00905,FARM-007,COW-058,Jersey,3.7,3,64,0,No previous mastitis,Up to date,None,13.53,156104,5.23,38.92,38.99,,82.2,,7.8,57.3,8.1,6.6,5.9,8.3,7.6,3,Morning/Evening,22.7,64.2,Low,0,Normal,6.6,No Risk,0,0
REC-00906,FARM-049,COW-044,Murrah Buffalo,8.1,3,34,1,Previous mastitis,Up to date,None,3.94,256610,5.87,38.61,38.65,38.5,97.2,507.0,8.1,66.1,6.8,7.0,6.8,5.2,7.3,2,Morning/Evening,24.6,64.2,Low,0,Normal,62.6,High Risk,1,9
REC-00907,FARM-026,COW-173,Gir,3.0,4,285,0,No previous mastitis,Partially up to date,None,6.81,99124,4.82,39.05,39.03,37.77,96.9,490.0,6.5,47.2,7.0,8.9,4.7,9.7,8.3,3,Morning/Evening,22.6,62.4,Low,0,Normal,26.7,Low Risk,0,0
REC-00908,FARM-033,COW-160,Gir,5.8,4,304,0,No previous mastitis,Partially up to date,None,7.59,224647,5.01,38.89,38.89,38.54,71.7,548.0,6.6,75.6,7.7,8.2,5.8,8.4,7.7,2,Morning/Evening,32.6,51.5,Moderate,0,Normal,26.5,Low Risk,0,0
REC-00909,FARM-037,COW-173,Jersey Cross,3.8,3,202,0,No previous mastitis,Up to date,None,6.29,150695,5.51,38.59,38.75,37.17,66.9,545.0,8.2,79.7,7.5,4.2,7.5,5.2,6.5,2,Morning/Evening,31.6,40.4,Moderate,0,Normal,31.2,Low Risk,0,0
REC-00910,FARM-048,COW-317,Gir,3.6,2,116,0,No previous mastitis,Up to date,None,9.53,87096,5.34,38.13,38.18,37.97,46.0,468.0,7.4,69.6,8.3,10.0,8.2,6.4,8.9,2,Morning/Evening,27.0,58.7,Low,0,Normal,14.5,No Risk,0,0
REC-00911,FARM-015,COW-303,Other,5.2,4,193,0,No previous mastitis,Partially up to date,None,9.9,213048,4.87,39.07,39.17,38.55,79.7,426.0,6.6,74.5,6.4,8.9,8.3,8.2,5.1,2,Morning/Evening,26.7,63.8,Low,1,Normal,23.1,Low Risk,0,0
REC-00912,FARM-002,COW-149,Jersey Cross,9.1,2,174,0,No previous mastitis,Up to date,Antibiotic treatment,12.66,83290,5.03,38.89,39.0,37.85,83.7,536.0,7.7,46.2,4.1,6.5,6.0,8.9,9.4,2,Morning/Evening,33.4,74.6,High,0,Normal,4.8,No Risk,0,0
REC-00913,FARM-041,COW-080,Holstein Friesian,6.6,2,27,1,Previous mastitis,Partially up to date,None,25.02,199458,5.74,38.46,38.62,38.06,70.9,468.0,6.8,58.2,6.0,7.2,8.7,6.2,5.2,2,Morning/Evening,29.0,63.6,Low,0,Normal,13.5,No Risk,0,0
REC-00914,FARM-007,COW-374,Jersey Cross,3.3,2,257,0,No previous mastitis,Up to date,None,10.95,165499,5.85,39.11,39.12,37.95,67.9,328.0,7.8,73.0,9.1,7.0,7.0,6.4,7.0,2,Morning/Noon/Evening,25.1,69.5,Low,0,Normal,16.3,No Risk,0,0
REC-00915,FARM-032,COW-213,HF Cross,5.6,5,131,0,No previous mastitis,Up to date,None,12.29,158162,5.87,38.32,38.45,38.36,95.3,558.0,5.9,79.2,7.5,5.6,7.9,8.2,5.7,2,Morning/Evening,33.8,53.8,Moderate,0,Normal,7.0,No Risk,0,0
REC-00916,FARM-004,COW-203,Jersey Cross,2.0,1,26,0,No previous mastitis,Partially up to date,None,11.13,77368,5.75,38.82,38.77,37.31,72.8,548.0,6.0,76.4,7.0,6.6,8.7,6.6,6.5,2,Morning/Noon/Evening,28.4,47.4,Low,0,Normal,13.4,No Risk,0,0
REC-00917,FARM-020,COW-252,HF Cross,2.0,2,118,0,No previous mastitis,Up to date,None,17.88,128432,6.03,38.91,39.0,37.61,78.6,456.0,8.0,80.2,9.1,5.7,7.4,6.2,6.0,2,Morning/Evening,32.0,72.2,High,0,Normal,9.5,No Risk,0,0
REC-00918,FARM-050,COW-229,Murrah Buffalo,5.5,3,280,0,No previous mastitis,Up to date,None,6.45,394287,6.1,38.69,38.76,,92.4,539.0,6.5,60.2,5.5,8.6,5.5,8.4,8.7,3,Morning/Evening,29.3,75.8,Moderate,0,Intermittent,25.3,Low Risk,0,0
REC-00919,FARM-036,COW-164,Jersey Cross,6.5,5,301,0,No previous mastitis,Partially up to date,None,15.74,129139,5.92,38.94,38.95,37.73,50.8,440.0,9.1,89.1,8.8,4.7,8.9,7.6,7.2,3,Morning/Noon/Evening,38.3,79.8,High,0,Normal,11.0,No Risk,0,0
REC-00920,FARM-032,COW-227,Holstein Friesian,8.0,4,116,0,No previous mastitis,Up to date,None,18.39,134824,5.19,38.21,38.22,37.9,98.8,438.0,6.3,57.5,8.0,6.2,7.7,10.0,7.9,2,Morning/Noon/Evening,28.1,82.5,Moderate,0,Normal,4.9,No Risk,0,0
REC-00921,FARM-028,COW-147,Jersey,5.9,2,239,1,Previous mastitis,Up to date,None,13.08,350305,6.47,39.21,39.36,38.09,68.0,497.0,5.4,60.7,8.5,5.7,7.7,5.5,5.7,2,Morning/Evening,20.0,83.8,Moderate,0,Normal,21.1,Low Risk,0,0
REC-00922,FARM-013,COW-020,HF Cross,5.2,2,212,0,No previous mastitis,Up to date,None,16.95,168827,6.04,38.47,38.57,38.49,67.7,383.0,6.1,45.2,8.0,9.9,5.1,4.9,6.7,2,Morning/Evening,28.0,76.2,Moderate,0,Normal,20.4,Low Risk,0,0
REC-00923,FARM-001,COW-441,Jersey,4.6,3,18,1,Previous mastitis,Partially up to date,None,13.73,195436,6.15,38.08,38.02,37.53,74.6,395.0,6.8,67.1,8.6,8.4,8.9,6.2,8.8,3,Morning/Evening,30.2,61.2,Moderate,0,Normal,13.8,No Risk,0,0
REC-00924,FARM-035,COW-402,Holstein Friesian,6.2,1,131,0,No previous mastitis,Partially up to date,Supportive treatment,16.61,391761,5.67,39.09,39.28,37.86,91.7,434.0,6.7,79.4,8.1,8.0,7.7,9.6,7.9,2,Morning/Evening,31.1,71.4,Moderate,0,Normal,5.1,No Risk,0,0
REC-00925,FARM-048,COW-047,HF Cross,3.0,4,111,0,No previous mastitis,Up to date,None,14.12,124780,5.29,38.88,39.0,37.4,87.7,539.0,7.6,92.4,7.9,8.8,4.8,7.9,5.9,2,Morning/Noon/Evening,32.6,64.1,Moderate,0,Intermittent,6.8,No Risk,0,0
REC-00926,FARM-030,COW-233,HF Cross,4.0,4,128,0,No previous mastitis,Up to date,None,16.35,228174,5.51,37.84,38.01,37.79,83.1,436.0,7.7,60.1,8.0,7.3,6.7,7.9,7.0,2,Morning/Evening,26.4,65.2,Low,0,Normal,5.1,No Risk,0,0
REC-00927,FARM-036,COW-305,Other,3.1,3,114,0,No previous mastitis,Up to date,None,9.17,79994,5.33,38.69,38.75,37.48,73.2,515.0,6.6,73.3,6.0,7.0,6.9,8.2,7.8,2,Morning/Evening,36.0,72.7,High,1,Normal,13.8,No Risk,0,0
REC-00928,FARM-025,COW-014,Holstein Friesian,4.3,3,225,0,No previous mastitis,Up to date,None,13.53,104745,4.99,39.15,39.34,37.54,91.9,,10.0,66.1,6.4,7.0,7.1,6.1,10.0,2,Morning/Evening,33.3,83.2,High,0,Normal,3.8,No Risk,0,0
REC-00929,FARM-016,COW-143,Holstein Friesian,3.9,5,146,0,No previous mastitis,Up to date,None,20.35,299563,5.17,38.85,39.04,38.02,67.9,518.0,9.4,56.2,10.0,6.5,6.7,7.8,9.1,2,Morning/Evening,29.6,77.1,Moderate,0,Normal,4.2,No Risk,0,0
REC-00930,FARM-019,COW-415,Jersey,3.8,2,191,1,Previous mastitis,Up to date,None,14.11,477235,6.02,38.73,38.84,37.92,102.1,520.0,8.1,42.5,6.5,8.2,7.0,7.9,10.0,2,Morning/Evening,25.9,67.9,Low,0,Normal,10.2,No Risk,0,0
REC-00931,FARM-001,COW-001,HF Cross,4.0,3,108,0,No previous mastitis,Up to date,Anti-inflammatory treatment,18.43,153534,5.1,38.79,38.93,37.63,91.1,422.0,5.6,66.1,6.0,8.6,8.5,8.9,8.2,2,Morning/Evening,37.7,69.2,Moderate,0,Normal,3.5,No Risk,0,0
REC-00932,FARM-005,COW-373,Jersey,5.6,2,19,1,Previous mastitis,Up to date,None,11.33,541061,6.11,38.9,39.02,37.95,83.4,525.0,5.7,59.3,6.9,8.2,6.9,7.3,7.1,3,Morning/Evening,32.3,72.3,High,1,Normal,29.3,Low Risk,0,0
REC-00933,FARM-022,COW-054,Jersey Cross,7.5,4,151,1,Previous mastitis,Up to date,None,17.25,172404,5.47,38.32,38.36,38.39,59.8,453.0,6.9,84.6,6.5,6.5,6.1,6.3,8.6,2,Morning/Evening,26.8,82.1,Moderate,0,Normal,10.1,No Risk,0,0
REC-00934,FARM-024,COW-374,Jersey,5.7,6,183,0,No previous mastitis,Up to date,None,7.29,144158,5.64,38.67,38.63,37.57,75.1,500.0,7.5,87.2,6.1,6.4,7.2,6.7,10.0,2,Morning/Evening,35.3,90.3,High,0,Normal,36.4,Low Risk,0,0
REC-00935,FARM-043,COW-259,Jersey Cross,4.2,4,280,0,No previous mastitis,Partially up to date,None,10.71,312402,5.09,38.21,38.22,38.03,88.6,416.0,6.4,38.4,8.3,10.0,8.8,8.4,6.1,2,Morning/Evening,30.0,69.6,Low,0,Normal,9.8,No Risk,0,0
REC-00936,FARM-045,COW-144,Sahiwal,6.0,4,154,0,No previous mastitis,Up to date,Supportive treatment,6.07,213225,5.88,38.61,38.83,38.34,81.3,590.0,8.7,65.4,7.1,6.7,8.2,4.9,5.1,2,Morning/Evening,35.8,65.6,Moderate,0,Intermittent,29.0,Low Risk,0,0
REC-00937,FARM-037,COW-471,Jersey,5.4,3,225,0,No previous mastitis,Partially up to date,Anti-inflammatory treatment,13.58,223394,5.71,38.4,38.57,37.63,95.6,458.0,8.3,78.9,5.8,9.3,3.3,6.9,4.6,3,Morning/Evening,25.2,69.9,Low,0,Normal,10.8,No Risk,0,0
REC-00938,FARM-036,COW-441,HF Cross,5.5,5,54,0,No previous mastitis,Up to date,None,19.46,209114,5.19,38.95,38.99,38.02,83.5,475.0,7.0,84.9,6.5,6.6,4.9,9.5,9.9,2,Morning/Evening,28.1,80.4,Moderate,0,Normal,9.2,No Risk,0,0
REC-00939,FARM-036,COW-459,HF Cross,5.2,5,99,0,No previous mastitis,Up to date,None,16.38,136996,5.73,39.03,39.12,37.95,74.9,382.0,6.3,70.8,5.9,6.6,4.1,7.1,8.8,3,Morning/Evening,35.2,74.3,High,0,Normal,11.6,No Risk,0,0
REC-00940,FARM-004,COW-012,Sahiwal,8.3,5,89,0,No previous mastitis,Up to date,None,9.68,160249,5.01,38.72,38.8,37.99,72.1,507.0,10.0,65.6,6.9,7.9,7.7,9.9,7.9,3,Morning/Evening,26.0,61.9,Low,0,Normal,14.6,No Risk,0,0
REC-00941,FARM-036,COW-330,HF Cross,5.4,3,161,1,Previous mastitis,Up to date,None,21.88,270787,5.37,38.82,38.9,37.91,89.5,441.0,4.8,63.7,8.4,9.5,8.7,9.2,6.7,2,Morning/Evening,27.9,68.1,Low,0,Normal,9.3,No Risk,0,0
REC-00942,FARM-018,COW-224,Jersey Cross,4.2,3,57,0,No previous mastitis,Partially up to date,None,12.5,160730,5.32,38.67,38.78,,87.0,522.0,9.9,47.2,7.4,7.8,6.9,8.1,8.5,2,Morning/Evening,18.0,68.2,Low,0,Normal,6.2,No Risk,0,0
REC-00943,FARM-050,COW-272,Sahiwal,3.8,1,122,0,No previous mastitis,Overdue,None,6.53,212739,5.57,38.67,38.74,37.69,82.5,518.0,6.3,56.6,8.0,6.3,7.2,7.4,8.0,2,Morning/Evening,30.9,60.2,Moderate,0,Normal,29.6,Low Risk,0,0
REC-00944,FARM-016,COW-456,Jersey Cross,6.8,2,101,0,No previous mastitis,Up to date,Antibiotic treatment,16.16,281440,5.0,38.03,38.06,37.66,43.7,416.0,9.5,61.6,7.8,10.0,5.4,9.2,7.4,2,Morning/Evening,34.2,60.1,Moderate,1,Normal,11.1,No Risk,0,0
REC-00945,FARM-041,COW-358,HF Cross,3.1,1,229,0,No previous mastitis,Up to date,None,14.88,330673,5.94,38.6,38.74,37.74,84.5,559.0,7.3,77.6,7.3,7.5,8.8,7.2,6.3,2,Morning/Evening,24.9,53.5,Low,0,Normal,7.9,No Risk,0,0
REC-00946,FARM-018,COW-460,Jersey,7.6,4,203,1,Previous mastitis,Up to date,None,10.58,197851,6.18,38.45,38.5,,68.1,504.0,6.8,61.9,7.7,6.8,5.8,5.4,6.7,3,Morning/Evening,31.0,66.2,Moderate,1,Normal,36.8,Low Risk,0,0
REC-00947,FARM-022,COW-408,Gir,2.0,3,85,0,No previous mastitis,Partially up to date,None,10.66,127524,4.69,38.44,38.37,37.91,73.7,491.0,7.4,58.7,8.1,8.1,8.8,8.1,8.7,2,Morning/Evening,26.6,81.6,Moderate,0,Intermittent,12.8,No Risk,0,0
REC-00948,FARM-002,COW-156,Murrah Buffalo,7.4,3,59,0,No previous mastitis,Up to date,None,8.16,106235,5.93,38.43,38.4,37.98,63.2,521.0,7.2,63.7,6.0,5.6,6.0,7.6,7.3,2,Morning/Evening,22.2,80.2,Moderate,0,Normal,16.3,No Risk,0,0
REC-00949,FARM-021,COW-373,Other,6.6,3,209,0,No previous mastitis,Up to date,None,9.7,102624,4.87,38.57,38.62,38.35,96.6,518.0,8.1,69.7,8.9,8.4,9.6,8.2,9.5,2,Morning/Evening,27.5,67.7,Low,1,Normal,12.5,No Risk,0,0
REC-00950,FARM-036,COW-008,Murrah Buffalo,4.4,3,16,1,Previous mastitis,Partially up to date,None,12.34,545334,5.68,38.63,38.71,37.56,75.2,479.0,7.6,66.5,9.2,5.6,4.7,8.6,8.9,2,Morning/Evening,26.4,89.4,Moderate,1,Normal,25.4,Low Risk,0,0
REC-00951,FARM-044,COW-122,Sahiwal,3.8,3,44,0,No previous mastitis,Partially up to date,None,7.81,76106,4.22,38.94,38.99,37.13,83.4,563.0,6.5,64.0,6.5,8.2,5.3,8.2,6.6,2,Morning/Evening,29.6,67.3,Low,0,Normal,16.8,No Risk,0,0
REC-00952,FARM-039,COW-348,Jersey Cross,7.4,2,46,0,No previous mastitis,Up to date,None,16.39,168921,5.41,38.45,38.64,37.84,86.4,536.0,7.8,65.3,8.2,9.6,8.9,6.9,6.9,3,Morning/Evening,27.6,63.9,Low,0,Normal,5.9,No Risk,0,0
REC-00953,FARM-047,COW-164,Sahiwal,8.4,5,254,0,No previous mastitis,Up to date,None,8.95,236097,6.58,38.53,38.62,37.42,73.0,540.0,8.2,58.6,7.4,5.9,8.8,5.9,8.9,2,Morning/Noon/Evening,35.0,44.3,Moderate,0,Normal,29.1,Low Risk,0,0
REC-00954,FARM-039,COW-090,HF Cross,4.1,5,58,0,No previous mastitis,Partially up to date,Antibiotic treatment,16.93,234692,5.82,39.41,39.45,38.25,67.8,515.0,7.7,69.0,7.0,7.4,6.6,7.3,9.1,2,Morning/Evening,26.5,70.4,Low,0,Normal,6.1,No Risk,0,0
REC-00955,FARM-029,COW-136,Jersey Cross,6.2,3,70,0,No previous mastitis,Partially up to date,None,12.74,272445,4.83,38.49,38.45,38.01,74.7,349.0,5.4,60.9,9.9,7.7,4.8,5.3,7.8,2,Morning/Evening,28.4,57.3,Low,0,Normal,23.7,Low Risk,0,0
REC-00956,FARM-026,COW-186,HF Cross,7.0,7,229,0,No previous mastitis,Up to date,None,12.47,357194,6.27,38.57,38.51,37.89,80.3,491.0,5.5,83.7,6.8,8.6,3.0,4.9,6.1,2,Morning/Evening,30.1,85.4,Moderate,0,Normal,13.2,No Risk,0,0
REC-00957,FARM-021,COW-316,HF Cross,6.3,2,208,0,No previous mastitis,Partially up to date,Supportive treatment,14.7,153007,6.2,39.0,39.08,37.76,93.1,445.0,6.5,66.2,6.8,8.0,9.2,5.8,7.2,3,Morning/Evening,28.8,53.1,Low,0,Normal,12.6,No Risk,0,0
REC-00958,FARM-017,COW-178,Gir,5.3,4,221,0,No previous mastitis,Up to date,None,13.84,154577,5.31,39.18,39.16,37.12,74.1,378.0,8.1,53.9,7.5,7.3,7.7,6.8,6.2,3,Morning/Evening,26.6,83.4,Moderate,0,Normal,7.9,No Risk,0,0
REC-00959,FARM-016,COW-028,HF Cross,4.5,3,60,1,Previous mastitis,Up to date,None,24.03,418328,6.37,39.09,39.18,37.86,70.6,443.0,7.2,64.4,7.0,9.2,7.3,9.8,9.6,2,Morning/Evening,29.2,70.5,Low,0,Normal,14.2,No Risk,0,0
REC-00960,FARM-031,COW-220,Holstein Friesian,5.7,3,281,1,Previous mastitis,Up to date,None,22.91,197228,5.16,38.39,38.43,37.98,75.4,467.0,8.2,49.9,5.7,7.5,5.9,9.0,7.7,2,Morning/Evening,31.4,54.2,Moderate,0,Normal,7.9,No Risk,0,0
REC-00961,FARM-009,COW-357,Holstein Friesian,2.0,4,267,0,No previous mastitis,Partially up to date,None,20.44,92078,4.61,38.52,38.58,37.59,86.8,546.0,6.9,63.9,6.6,6.2,6.4,6.9,7.2,2,Morning/Evening,33.0,48.1,Moderate,0,Normal,3.4,No Risk,0,0
REC-00962,FARM-031,COW-041,Murrah Buffalo,7.6,6,154,0,No previous mastitis,Up to date,Supportive treatment,4.2,206405,5.68,39.08,39.06,37.13,72.6,536.0,6.7,63.0,8.6,5.6,8.4,8.0,6.6,2,Morning/Evening,19.5,72.4,Low,1,Normal,32.7,Low Risk,0,0
REC-00963,FARM-014,COW-228,Jersey Cross,2.1,3,41,0,No previous mastitis,Overdue,None,14.88,215044,5.65,38.48,38.43,38.16,77.7,423.0,9.0,90.0,7.7,9.0,5.2,5.8,4.5,2,Morning/Evening,31.3,56.9,Moderate,0,Normal,11.1,No Risk,0,0
REC-00964,FARM-049,COW-192,Jersey Cross,3.7,1,309,0,No previous mastitis,Up to date,Anti-inflammatory treatment,12.22,115318,4.8,38.6,38.76,38.5,67.6,442.0,7.6,61.1,7.7,9.4,8.4,7.9,6.9,2,Morning/Noon/Evening,26.0,44.3,Low,0,Intermittent,8.8,No Risk,0,0
REC-00965,FARM-037,COW-411,HF Cross,4.6,3,203,0,No previous mastitis,Up to date,None,17.09,189189,4.84,37.82,37.84,37.2,75.9,452.0,6.1,69.7,8.8,7.5,8.0,8.2,7.5,2,Morning/Evening,34.2,91.8,High,0,Normal,5.8,No Risk,0,0
REC-00966,FARM-002,COW-447,HF Cross,3.4,3,230,0,No previous mastitis,Up to date,None,13.62,110855,5.35,38.66,38.68,37.66,71.1,473.0,8.6,63.7,7.9,5.0,9.5,4.8,6.3,3,Morning/Evening,33.2,78.4,High,0,Normal,9.2,No Risk,0,0
REC-00967,FARM-048,COW-145,Jersey,3.2,5,152,0,No previous mastitis,Up to date,None,10.22,222304,6.12,38.46,38.61,37.71,79.1,528.0,8.0,82.3,6.0,6.4,7.9,8.1,8.6,2,Morning/Evening,33.2,54.3,Moderate,0,Normal,15.7,No Risk,0,0
REC-00968,FARM-046,COW-201,HF Cross,7.7,2,94,0,No previous mastitis,Up to date,None,22.06,39491,6.0,37.86,37.96,38.27,78.3,521.0,7.3,72.1,8.1,9.2,8.4,7.8,5.8,2,Morning/Evening,26.4,46.2,Low,0,Normal,10.2,No Risk,0,0
REC-00969,FARM-014,COW-417,Sahiwal,8.4,1,128,0,No previous mastitis,Partially up to date,None,7.19,212844,6.75,38.52,38.61,37.59,103.4,478.0,5.4,50.5,7.4,8.0,4.7,5.7,7.7,3,Morning/Noon/Evening,22.7,82.2,Moderate,0,Normal,43.5,Moderate Risk,0,0
REC-00970,FARM-033,COW-212,HF Cross,8.0,3,229,0,No previous mastitis,Up to date,Antibiotic treatment,14.49,117249,6.19,38.49,38.71,37.93,69.6,446.0,8.1,64.5,7.2,5.0,6.6,9.8,8.3,2,Morning/Evening,34.7,51.7,Moderate,0,Normal,9.6,No Risk,0,0
REC-00971,FARM-035,COW-461,HF Cross,6.7,2,73,0,No previous mastitis,Partially up to date,None,17.33,219062,5.96,39.84,39.82,37.77,56.3,538.0,6.8,64.9,8.0,8.0,6.8,8.2,7.2,2,Morning/Evening,34.3,69.2,Moderate,1,Normal,15.4,No Risk,0,0
REC-00972,FARM-039,COW-220,Jersey,9.6,1,83,0,No previous mastitis,Partially up to date,None,14.03,215654,5.53,38.34,38.34,37.46,82.5,482.0,7.8,53.8,5.7,7.1,7.6,6.6,6.0,2,Morning/Evening,20.0,73.3,Low,0,Normal,5.4,No Risk,0,0
REC-00973,FARM-047,COW-240,HF Cross,4.7,4,236,0,No previous mastitis,Up to date,None,15.86,175133,4.87,38.55,38.62,38.34,85.3,476.0,4.4,70.7,6.9,8.5,7.2,7.3,7.3,2,Morning/Evening,35.2,61.8,Moderate,0,Normal,8.0,No Risk,0,0
REC-00974,FARM-020,COW-413,Jersey,4.5,5,192,0,No previous mastitis,Up to date,Supportive treatment,16.94,213107,6.11,38.88,38.9,37.75,81.0,481.0,6.8,87.9,7.0,6.5,8.6,6.3,6.0,2,Morning/Evening,30.6,56.3,Moderate,0,Normal,3.9,No Risk,0,0
REC-00975,FARM-002,COW-397,Jersey Cross,5.2,7,46,0,No previous mastitis,Up to date,Antibiotic treatment,13.15,152451,5.96,38.06,38.16,38.09,80.4,590.0,6.6,60.2,9.4,9.2,7.2,6.0,7.3,2,Morning/Evening,29.6,45.2,Low,0,Normal,4.8,No Risk,0,0
REC-00976,FARM-041,COW-046,HF Cross,7.8,2,51,0,No previous mastitis,Up to date,Supportive treatment,15.0,333746,5.1,38.83,39.0,37.82,99.1,,8.0,64.0,6.8,6.8,5.6,6.5,7.9,2,Morning/Evening,25.3,73.5,Low,0,Intermittent,3.7,No Risk,0,0
REC-00977,FARM-019,COW-035,Murrah Buffalo,6.3,3,220,0,No previous mastitis,Up to date,None,5.41,78335,5.13,38.2,38.19,,86.9,464.0,5.4,75.6,8.2,2.8,5.4,10.0,7.4,2,Morning/Evening,33.6,95.0,High,0,Normal,34.1,Low Risk,0,0
REC-00978,FARM-037,COW-253,Jersey Cross,8.3,5,99,0,No previous mastitis,Up to date,None,17.64,153522,4.94,38.94,38.88,37.65,91.7,496.0,6.0,67.6,6.8,6.3,9.4,5.3,6.4,2,Morning/Evening,26.9,54.2,Low,0,Normal,3.3,No Risk,0,0
REC-00979,FARM-018,COW-390,HF Cross,5.3,2,286,1,Previous mastitis,Up to date,None,12.21,156863,6.44,38.22,38.29,38.94,75.4,454.0,7.9,83.4,7.0,7.6,7.5,7.0,6.7,3,Morning/Evening,26.9,56.0,Low,0,Normal,17.4,No Risk,0,0
REC-00980,FARM-016,COW-082,HF Cross,2.5,1,101,0,No previous mastitis,Up to date,None,15.69,186692,4.99,38.14,38.2,37.59,90.0,427.0,8.5,69.0,8.0,7.4,7.2,6.0,9.7,2,Morning/Evening,19.4,77.3,Moderate,0,Normal,5.7,No Risk,0,0
REC-00981,FARM-004,COW-371,Gir,4.0,3,144,1,Previous mastitis,Up to date,None,12.31,247686,5.78,38.43,38.45,37.78,71.9,500.0,7.5,56.9,6.4,6.5,7.4,7.0,9.7,2,Morning/Evening,25.7,38.7,Low,0,Normal,12.7,No Risk,0,0
REC-00982,FARM-012,COW-256,Jersey,7.0,5,235,1,Previous mastitis,Up to date,Anti-inflammatory treatment,13.72,669418,6.64,39.2,39.19,37.93,88.7,541.0,9.2,60.0,5.7,4.9,7.3,8.7,7.1,2,Morning/Evening,24.5,58.5,Low,0,Normal,17.4,No Risk,1,12
